1,0.97222222,0.86111111
8,0.89814815,0.86111111
10,0.93518519,0.94444444
13,0.94444444,0.94444444
24,0.94444444,0.91666667
25,0.85185185,0.86111111
30,0.94444444,0.88888889
34,0.94444444,0.88888889
40,0.98148148,0.94444444
41,0.91666667,0.88888889
43,0.93518519,0.91666667
45,0.94444444,0.97222222
53,0.88888889,0.97222222
54,0.92592593,0.91666667
56,0.93518519,0.86111111
57,0.9537037,0.86111111
59,0.89814815,0.86111111
61,0.92592593,0.88888889
63,0.94444444,0.91666667
65,0.92592593,0.88888889
66,0.90740741,0.86111111
67,0.92592593,0.86111111
71,0.88888889,0.86111111
75,0.90740741,0.86111111
80,0.90740741,0.86111111
81,0.9537037,0.91666667
82,0.97222222,0.88888889
94,0.97222222,0.94444444
97,0.90740741,0.91666667
99,0.91666667,0.86111111
